,Uniq Id,Crawl Timestamp,Job Title,Job Salary,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role,Longitude,Latitude,sal
441,243c770fe591e91d8ce0a0c2904d08d7,2019-08-06 04:03:12 +0000,," INR 2,50,000 - 3,00,000 PA. ",vide,Java|Trainer|Java|trainer|Trainer|java|Trainer|Java|Trainer|Java|Trainer|Java|Trainer|Java|Trainer|Java|Trainer|Java|Trainer|Java|Trainer|Java|Trainer|Java|Trainer|JAVA|TRAINER|JAVA|TRAINER|Java|Trainer|Java|Trainer|Java|Trainer|trainer|Trainer|Trainer|Java|Trainer|Java|Trainer|Trainer|Java|Java|Trainer|Java|Trainer|Java|Trainer|JAVA|TRAINER|Java|Trainer|Java|Trainer|Trainer|Trainer|Trainer|Trainer|Trainer|Trainer|Trainer|Java|Java|Java|trainer|Java|Java|Java|Trainer|JAVA|Java|Java|Trainer|Java,,,,,,11.0480288,46.3144754,6310
442,e17a461b0532c24aac2651e6c6ec0ea4,2019-07-05 20:18:58 +0000, Production Manager in Press Shop & Projection Welding, Not Disclosed by Recruiter ,10 - 15 yrs, Production Management| Weld Shop| Press Shop| pressing| sheetmetal,Production/Manufacturing/Maintenance,Greater Noida,"Production , Manufacturing , Maintenance","Automobile, Auto Anciliary, Auto Components",Production Manager,77.5137649,28.4670734,4859
443,a2790843348765f990f128d53f1e3aee,2019-08-06 00:59:56 +0000, salesfoce Developer +3Years / Mumbai, Not Disclosed by Recruiter ,3 - 8 yrs, Salesforce Developer| sfdc developer| Salesforce,Programming & Design,"Mumbai,Pune","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,72.840292,18.9560691,4106
444,91c02228c1d73140005bd6b14861820e,2019-08-04 05:10:53 +0000, Social Media Executive, Not Disclosed by Recruiter ,0 - 1 yrs, website| facebook| online| Twitter| seo| internet| search engine optimisation,Online/Digital Marketing,Hyderabad,"Marketing , Advertising , MR , PR , Media Planning","Media, Entertainment, Internet",Social Media Marketing Manager,78.4740613,17.360589,5029
445,25e521df85679e8b7da1931c7af7c81b,2019-08-05 12:20:01 +0000, Business Advisor, Not Disclosed by Recruiter ,0 - 3 yrs,vide,Institutional Sales,Kolkata,"Sales , Retail , Business Development","Strategy, Management Consulting Firms",Sales Executive/Officer,88.35769124388872,22.5414185,4045
446,0ede3c5a0c102a5d4825ed72de10c2f9,2019-08-04 14:23:31 +0000," IT Recruiter, Technical Recruiter"," 1,25,000 - 3,50,000 PA. ",0 - 4 yrs, head hunting| talent acquisition| Recruitment Executive| it recruitment| screening| technical recruitment| hiring| recruitment consultant| recruitment| sourcing| excel powerpoint| staffing,HR/ Recruitment / IR,Noida,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Recruitment Executive,77.3271074,28.5707841,1702
447,5da9d40e659b5b02933a94f03a13bdda,2019-08-04 19:43:09 +0000, SAP PLM Consultant - SAP MM Module, Not Disclosed by Recruiter ,10 - 15 yrs, SAP PLM| SAP MM| SAP EHS,Other,Hyderabad,"IT Software - ERP , CRM","IT-Software, Software Services",Outside Consultant,78.4740613,17.360589,5553
448,9b9cb6e90e33798f85fdd2e3114e708f,2019-08-05 04:25:44 +0000, Python Manager - IIT/ IIM/ DSE/ ISI, Not Disclosed by Recruiter ,3 - 6 yrs, Microstrategy| Business Intelligence| Cognos| Business Objects| Tableau| AWS| Python| SQL,Admin/Maintenance/Security/Datawarehousing,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT/Networking-Manager,77.590082,12.9767936,2383
449,5a7c2032cbb8da74a1f02041d095f19b,2019-07-04 23:27:21 +0000, Marketing Manager - Activation - Iit/nit, Not Disclosed by Recruiter ,2 - 5 yrs, Marketing| Event Management| Brand Management,Marketing,Mumbai,"Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",Marketing Manager,72.8773928,19.0759899,6366
450,66dff7176f837f30492d78f1ea413216,2019-07-04 09:00:51 +0000, Hiring .Net Developers for Hyderabad Location, Not Disclosed by Recruiter ,3 - 6 yrs, asp.net| ado.net| MVC,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,78.4740613,17.360589,5419
